"date","total","a0_30","a30_50","a50_55","a55_60","a60_65","a65_70","a70_75","a75_80","a80_85","a85_90","a90_95","a95","temp_mean","temp_max","covid_cases","covid_deaths","month","year","week"
2016-01-01,2558,37,62,66,109,138,166,249,368,416,471,352,124,5.4,6.7,0,0,"1","2016","1"
2016-01-02,2422,15,53,66,99,130,155,232,372,399,462,319,120,2.8,4.1,0,0,"1","2016","1"
2016-01-03,2522,25,69,73,93,116,136,207,402,414,525,342,120,3.5,5.6,0,0,"1","2016","1"
2016-01-04,2743,23,91,91,93,143,168,256,424,446,527,358,123,3.6,6,0,0,"1","2016","1"
2016-01-05,2633,21,60,84,119,126,170,245,399,424,491,371,123,5.3,6.4,0,0,"1","2016","1"
2016-01-06,2578,14,75,60,89,157,183,225,386,421,514,345,109,5.3,6.3,0,0,"1","2016","1"
2016-01-07,2584,20,69,66,94,136,184,215,387,418,489,363,143,5.3,7.4,0,0,"1","2016","1"
2016-01-08,2765,23,79,72,121,155,191,241,425,464,486,379,129,3.5,7.3,0,0,"1","2016","2"
2016-01-09,2579,19,59,69,97,131,161,235,389,468,489,339,123,1.2,4.6,0,0,"1","2016","2"
2016-01-10,2585,26,72,71,97,130,162,194,401,433,531,364,104,5.9,8.2,0,0,"1","2016","2"
2016-01-11,2751,22,77,67,128,153,163,244,412,469,508,373,135,5.1,6.5,0,0,"1","2016","2"
2016-01-12,2627,24,68,57,106,146,177,205,374,455,534,369,112,5.4,7.4,0,0,"1","2016","2"
2016-01-13,2698,24,72,75,104,133,189,237,419,445,540,327,133,4.9,6.6,0,0,"1","2016","2"
2016-01-14,2581,18,68,72,105,151,153,237,383,407,504,373,110,2.6,5.8,0,0,"1","2016","2"
2016-01-15,2657,22,81,70,108,134,185,219,377,463,512,365,121,2.5,3.4,0,0,"1","2016","3"
2016-01-16,2627,15,67,62,96,144,167,237,415,470,470,363,121,2.2,4.6,0,0,"1","2016","3"
2016-01-17,2498,24,73,59,98,122,171,206,357,430,502,341,115,-0.3,1.5,0,0,"1","2016","3"
2016-01-18,2624,14,69,79,87,136,187,242,380,418,509,385,118,-4.7,-0.8,0,0,"1","2016","3"
2016-01-19,2641,25,76,67,118,100,180,231,393,440,507,377,127,-5.7,-5,0,0,"1","2016","3"
2016-01-20,2640,18,66,72,111,137,185,225,401,431,480,375,139,-2.9,-0.8,0,0,"1","2016","3"
2016-01-21,2685,15,75,71,97,130,177,235,433,456,503,378,115,-0.9,2.1,0,0,"1","2016","3"
2016-01-22,2668,16,65,60,91,122,174,242,416,457,517,392,116,-3.6,0.1,0,0,"1","2016","4"
2016-01-23,2688,22,73,69,95,154,153,254,413,454,519,365,117,2.7,6.2,0,0,"1","2016","4"
2016-01-24,2681,15,73,57,84,134,174,224,407,487,528,357,141,3.4,5.1,0,0,"1","2016","4"
2016-01-25,2777,18,72,80,113,146,206,228,407,463,515,404,125,5.7,11.8,0,0,"1","2016","4"
2016-01-26,2679,24,81,72,103,149,176,261,385,440,512,357,119,7.1,11.7,0,0,"1","2016","4"
2016-01-27,2691,32,57,63,109,143,174,248,431,439,510,340,145,10.9,12.7,0,0,"1","2016","4"
2016-01-28,2639,20,72,73,96,137,185,217,414,444,498,352,131,8.1,12.3,0,0,"1","2016","4"
2016-01-29,2755,19,72,47,110,124,168,222,441,519,539,374,120,5,10,0,0,"1","2016","5"
2016-01-30,2650,19,70,74,90,127,176,225,412,420,521,375,141,7.2,9,0,0,"1","2016","5"
